"Table Physical_Name","Comment","Column Physical_Name","Comment","Physical Data Type",
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,MDCL_REC_NON_CMPLNC_RSN_ID,,BIGINT,
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,MDCL_REC_NON_CMPLNC_RSN_NAME,,VARCHAR(300),
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,MDCL_REC_NON_CMPLNC_RSN_DESC,,VARCHAR(500),
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,CREATD_DT,,DATETIME,
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,CREATD_BY,,INTEGER,
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,MDFYD_BY,,INTEGER,
RFRNC_MDCL_REC_NON_CMPLNC_RSN,,MDFYD_DT,,DATETIME,
RFRNC_MDCL_REC_TYPE,,MDCL_REC_TYPE_ID,,BIGINT,
RFRNC_MDCL_REC_TYPE,,MDCL_REC_TYPE_NAME,,VARCHAR(300),
RFRNC_MDCL_REC_TYPE,,MDCL_REC_TYPE_DESC,,VARCHAR(500),
RFRNC_MDCL_REC_TYPE,,CREATD_DT,,DATETIME,
RFRNC_MDCL_REC_TYPE,,CREATD_BY,,INTEGER,
RFRNC_MDCL_REC_TYPE,,MDFYD_DT,,DATETIME,
RFRNC_MDCL_REC_TYPE,,MDFYD_BY,,INTEGER,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,INVLD_MDCL_REC_RSN_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,EVALTN_WORK_STP_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,EVALTN_WORK_STP_INVLD_MDCL_REC_RSN_ID,,BIGINT,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,CREATD_DT,,DATETIME,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,CREATD_BY,,INTEGER,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,MDFYD_DT,,DATETIME,
EVALTN_WORK_STP_INVLD_MDCL_REC_RSN,,MDFYD_BY,,INTEGER,
RFRNC_EVALTN_WORK_STP_STUS,,EVALTN_WORK_STP_STUS_ID,,BIGINT,
RFRNC_EVALTN_WORK_STP_STUS,,EVALTN_WORK_STP_STUS_NAME,,VARCHAR(300),
RFRNC_EVALTN_WORK_STP_STUS,,EVALTN_WORK_STP_STUS_DESC,,VARCHAR(500),
RFRNC_EVALTN_WORK_STP_STUS,,CREATD_DT,,DATETIME,
RFRNC_EVALTN_WORK_STP_STUS,,CREATD_BY,,INTEGER,
RFRNC_EVALTN_WORK_STP_STUS,,MDFYD_DT,,DATETIME,
RFRNC_EVALTN_WORK_STP_STUS,,MDFYD_BY,,INTEGER,
RFRNC_WORK_STP_CMT_TYPE,,WORK_STP_CMT_TYPE_ID,,BIGINT,
RFRNC_WORK_STP_CMT_TYPE,,WORK_STP_CMT_TYPE_NAME,,VARCHAR(300),
RFRNC_WORK_STP_CMT_TYPE,,WORK_STP_CMT_TYPE_DESC,,VARCHAR(500),
RFRNC_WORK_STP_CMT_TYPE,,CREATD_DT,,DATETIME,
RFRNC_WORK_STP_CMT_TYPE,,CREATD_BY,,INTEGER,
RFRNC_WORK_STP_CMT_TYPE,,MDFYD_DT,,DATETIME,
RFRNC_WORK_STP_CMT_TYPE,,MDFYD_BY,,CHAR(18),
PAGE_MANIPULATION,,PAGE_MANIPULATION_ID,,BIGINT,
PAGE_MANIPULATION,,EVALTN_WORK_STP_ID,,BIGINT,
PAGE_MANIPULATION,,PAGE_ID,,BIGINT,
PAGE_MANIPULATION,,PAGE_NUM,,BIGINT,
PAGE_MANIPULATION,,ROT,,BIGINT,
PAGE_MANIPULATION,,CREATD_DT,,DATETIME,
PAGE_MANIPULATION,,CREATD_BY,,INTEGER,
PAGE_MANIPULATION,,MDFYD_DT,,DATETIME,
PAGE_MANIPULATION,,MDFYD_BY,,INTEGER,
